[10805, 11404, 11479, 11453, 11264, 11522, 11646, 11484, 11452, 11577, 11453, 11149, 11242, 11349, 11565, 11620, 11389, 11342, 11565, 11242, 11246]
[11683, 11627, 11692, 11629, 10424, 11246, 11105, 10832, 11322, 11503, 11381, 11386, 11009, 11404, 11627, 11547, 11264, 11522, 11577, 11175, 11242]
[11264, 10823, 10885, 11365, 11700, 11089, 11242, 10868, 10163, 11299, 10687, 11656, 11364, 11314, 11161, 11029, 11063, 11750, 11455, 11105, 11165]
[11305, 11089, 11714, 10190, 11322, 11214, 11423, 10996, 11133, 11471, 11109, 11656, 10762, 10436, 11417, 10550, 11105, 11348, 11562, 11239, 11202]
[11560, 10840, 10397, 10936, 11368, 11241, 11640, 11050, 11505, 11108, 11663, 10043, 11148, 11126, 11425, 11738, 11155, 11549, 11186, 11122, 11012]
[11529, 11540, 11506, 11512, 11713, 11202, 11348, 11147, 11312, 10840, 10376, 11710, 11172, 11070, 11032, 11827, 11328, 11430, 10936, 11318, 11113]
[11507, 11328, 11341, 10849, 11328, 11486, 10749, 11722, 10376, 11714, 11552, 10782, 10997, 11113, 10886, 11562, 11236, 11532, 11152, 10779, 10840]
[10424, 11636, 11671, 10174, 11674, 11314, 10814, 11248, 11660, 11152, 11152, 10412, 10903, 11113, 11478, 11623, 11357, 10811, 11442, 11526, 11562]
[10722, 11248, 11446, 11079, 10814, 11828, 10921, 11238, 11459, 10732, 10974, 10589, 11522, 11620, 11194, 11562, 11521, 11671, 11728, 10212, 11442]
[10400, 11248, 11687, 11568, 10927, 11785, 11475, 10814, 10903, 10676, 11493, 11259, 11728, 10503, 11635, 10400, 11508, 11279, 11047, 11489, 11483]
[11553, 10400, 10575, 11255, 10561, 11066, 11490, 11717, 10790, 11350, 11355, 11733, 10503, 10614, 11358, 10460, 9972, 11336, 11180, 11362, 10870]
[11196, 10557, 11387, 10791, 9972, 11265, 10351, 11509, 11279, 11153, 10880, 10747, 10676, 10396, 11148, 11544, 10716, 10400, 11682, 11493, 10824]
[10654, 11210, 10711, 11470, 11631, 11261, 10584, 11367, 10480, 10853, 10665, 10899, 11493, 10442, 10440, 11279, 11551, 10309, 10790, 10499, 11493]
[11338, 11522, 10811, 11642, 10913, 11387, 11504, 11143, 11537, 11501, 10606, 10380, 11141, 11177, 11340, 11470, 11419, 10616, 10908, 10464, 10711]
[11501, 11338, 10539, 11073, 11335, 10811, 11419, 11470, 11207, 10272, 10570, 11444, 10666, 11595, 11291, 11346, 11633, 11470, 11356, 10358, 11765]
[10899, 11346, 11105, 11335, 10539, 10602, 11445, 10660, 10466, 11118, 11491, 11419, 11330, 11207, 11503, 11487, 11467, 10262, 10804, 10797, 11474]
[10388, 10814, 10752, 11470, 11335, 11204, 11419, 11213, 11158, 10164, 11220, 11495, 11492, 10946, 10741, 11515, 11398, 11470, 10220, 11469, 11340]
[10764, 10703, 11521, 10271, 11214, 11445, 10236, 11241, 10974, 11383, 11094, 11541, 11601, 11091, 11232, 11435, 9915, 11346, 10919, 11502, 11085]
[10429, 10108, 10992, 10946, 10790, 10204, 11519, 10236, 11128, 11596, 11668, 10367, 10424, 11440, 11299, 10095, 10693, 11006, 11399, 10801, 10757]
[11668, 11467, 10213, 11301, 11614, 11322, 10440, 11591, 10457, 11029, 10354, 11201, 11167, 10828, 10823, 10749, 10819, 10271, 10693, 10095, 11288]
[10930, 10701, 10913, 11301, 10135, 10912, 10973, 10629, 10661, 11268, 10304, 10689, 11191, 10680, 10748, 11335, 10606, 11484, 10584, 10797, 11061]
[10800, 10790, 10932, 11365, 11268, 11248, 10680, 10787, 10614, 11243, 10503, 11423, 10475, 11243, 10629, 10385, 10860, 11365, 10135, 11075, 10704]
[10594, 10845, 10221, 11230, 11203, 10533, 10789, 11511, 10693, 10963, 11365, 10651, 10853, 11268, 11416, 11274, 10385, 10537, 11356, 10234, 11602]
[10529, 11274, 10308, 10355, 11602, 11058, 10566, 11356, 11473, 10376, 11416, 10432, 10317, 10663, 11440, 11422, 11268, 11377, 11230, 10517, 11060]
[11602, 11058, 11366, 11377, 10298, 11207, 11356, 11501, 11313, 11661, 10173, 10802, 10345, 10312, 10366, 10146, 10249, 10760, 10369, 10938, 11422]
[11430, 10565, 11082, 11058, 11248, 11506, 10625, 10938, 11396, 10237, 11445, 10420, 10434, 11427, 10173, 11473, 10598, 10280, 10612, 10311, 10460]
[10349, 11407, 11659, 10387, 10563, 10230, 10598, 11082, 10320, 11168, 10967, 10597, 11356, 10713, 11530, 10372, 10374, 11179, 10475, 10221, 10482]
[10076, 11179, 11530, 10980, 10983, 11594, 10739, 11517, 10372, 10434, 11370, 10773, 10310, 11136, 10437, 10520, 10967, 10338, 10293, 11168, 10730]
[11081, 10301, 11168, 10811, 11179, 10967, 11023, 10346, 11132, 11245, 10185, 10287, 11043, 11218, 11365, 10614, 10983, 11312, 10087, 10306, 11414]
[10306, 11242, 11299, 10701, 10376, 11023, 10346, 11144, 11333, 10310, 11413, 11353, 10460, 11081, 11149, 10205, 10155, 11061, 10125, 10738, 10264]
[10653, 10428, 11245, 10836, 10265, 10263, 11333, 11407, 10205, 10346, 11248, 10463, 11020, 11203, 11371, 10967, 10654, 11333, 10298, 10377, 10664]
