[40, 10, 24, 34, 38, 32, 36, 30, 39, 34, 39, 20, 29, 30, 22, 37, 31, 29, 37, 36, 35]
[40, 8, 35, 36, 32, 31, 38, 36, 33, 37, 32, 37, 38, 36, 32, 35, 33, 30, 30, 37, 12]
[40, 24, 14, 35, 25, 27, 39, 38, 17, 32, 23, 34, 26, 30, 22, 38, 31, 23, 21, 21, 19]
[40, 8, 40, 37, 33, 30, 33, 32, 28, 21, 40, 17, 34, 28, 29, 14, 36, 39, 27, 38, 14]
[40, 35, 35, 24, 12, 34, 37, 36, 20, 36, 29, 31, 33, 29, 40, 26, 35, 29, 17, 36, 26]
[40, 37, 40, 28, 41, 36, 9, 32, 36, 35, 36, 39, 37, 37, 38, 17, 31, 38, 39, 26, 38]
[41, 34, 27, 24, 36, 40, 27, 32, 29, 35, 32, 25, 31, 38, 24, 35, 35, 34, 38, 13, 15]
[41, 35, 41, 35, 33, 34, 21, 38, 25, 39, 31, 40, 26, 37, 36, 26, 39, 36, 35, 37, 35]
[41, 32, 41, 26, 25, 31, 29, 26, 37, 38, 25, 40, 28, 27, 40, 25, 39, 7, 29, 40, 36]
[41, 14, 12, 32, 32, 33, 38, 38, 39, 36, 28, 35, 33, 35, 14, 39, 41, 36, 23, 36, 9]
[41, 39, 29, 7, 37, 36, 39, 23, 31, 22, 27, 33, 24, 38, 37, 15, 39, 37, 14, 23, 32]
[41, 36, 32, 26, 39, 36, 8, 37, 34, 26, 35, 32, 12, 39, 36, 26, 30, 32, 36, 32, 32]
[41, 36, 26, 37, 33, 35, 27, 33, 31, 32, 6, 34, 37, 33, 36, 39, 9, 36, 37, 34, 32]
[41, 32, 27, 34, 38, 40, 38, 35, 39, 25, 34, 38, 35, 37, 28, 35, 37, 18, 36, 39, 28]
[41, 38, 25, 38, 19, 38, 40, 37, 33, 37, 36, 38, 30, 36, 36, 35, 40, 39, 38, 33, 32]
[41, 37, 35, 32, 26, 28, 39, 26, 25, 39, 38, 37, 35, 28, 38, 33, 37, 38, 37, 37, 37]
[41, 34, 36, 38, 34, 36, 36, 34, 38, 34, 37, 35, 36, 39, 36, 30, 38, 31, 22, 37, 38]
[41, 38, 39, 37, 33, 35, 38, 38, 18, 36, 33, 37, 30, 38, 40, 6, 35, 40, 39, 35, 34]
[41, 37, 36, 40, 37, 25, 40, 36, 30, 28, 20, 29, 35, 38, 38, 39, 37, 32, 40, 33, 39]
[41, 37, 16, 36, 33, 21, 30, 37, 33, 30, 39, 33, 35, 34, 37, 39, 37, 39, 37, 38, 39]
[41, 37, 24, 34, 32, 35, 34, 36, 31, 40, 35, 26, 28, 31, 39, 37, 38, 37, 32, 34, 37]
[41, 35, 40, 37, 39, 37, 38, 36, 37, 40, 33, 28, 26, 25, 26, 31, 37, 26, 39, 25, 39]
[41, 38, 36, 39, 36, 36, 37, 35, 39, 38, 31, 32, 37, 39, 33, 40, 35, 39, 37, 40, 40]
[41, 31, 35, 40, 37, 37, 32, 27, 35, 38, 38, 32, 24, 37, 32, 38, 38, 37, 34, 38, 35]
